struct;co2_ads [mg/g];q_st_co2_ads [kJ/mol];co2_des [mg/g];q_st_co2_des [kJ/mol];n2_ads [mg/g];q_st_n2_ads [kJ/mol]
bao_29-01-01_29-01-01_07-08-01_06-08-01_06-08-01;407.37678580230414;7.08573908579741;3.6815187675199996;7.63529488343687;149.50891353546498;3.7982662784815617
cza_30-02-06_16-02-06_11-02-06_None_None;379.60425908095596;8.776134809146003;3.0840730451440006;7.4895158191470435;113.572940881072;4.125778117671178
odk_2_02-03-09_4_29-05-09;533.5476221258249;8.696178782141889;4.891885986269999;7.729976188530816;178.79550200971997;3.265848881480891
med_29-02-06_29-02-06_29-02-06_None_None_None_None_None_None_None;444.919085621232;9.217389516967092;3.5461669374839997;7.68902367447412;133.813256981964;4.1054494975218905
nas-d_30-02-06_30-02-06_30-02-06_30-02-06_30-02-06_30-02-06_30-02-06_30-02-06_30-02-06_30-02-06_30-02-06_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None_None;341.38469295712605;12.949065879117882;2.636601938854;10.058485643779738;58.242283526141;5.5638527853218305
twf-d-a_16-01-01_16-01-01_16-01-01_16-01-01_07-08-01_07-08-01_07-08-01_07-08-01_07-08-01_07-08-01;824.9364108499019;4.6775915808845205;8.201647553034002;4.275962980498998;422.961496884913;2.8389196991451313
iac-d_11-01-03_35-11-03_30-01-03_None_None;359.6197763303859;26.151806504653226;7.328400068417998;19.38166552047663;33.493759746832;10.184044897051088
mep_29-02-06_29-02-06_29-02-06_None_None_None_None;419.63337354945986;9.38785321974964;3.7568088192949993;8.843131092441787;121.280229407226;4.177610086556109
odk_2_06-08-01_4_29-01-01;384.82312464336013;8.032260208407994;3.784613388446;7.299876072599084;131.847511731468;3.879880992541456
edi_29-01-01_29-01-01_06-08-01_07-08-01_06-08-01;408.97397596485297;7.463725015371724;3.716738502764;5.9857355896224;160.96014084767998;3.732981200903711
bzd_29-03-09_29-03-09_29-03-09_29-03-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09;947.8569249940832;6.196612448828741;8.784151358589003;5.547131197250113;422.95088268115995;3.060725457190703
msd_29-03-09_29-03-09_29-03-09_29-03-09_29-03-09_29-03-09_29-03-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09_01-05-09;658.02330860851;6.966366526280361;6.4894273732859995;7.265065541826933;250.928358568546;3.1428238748549595
